danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_names,artist_names,happy,genre
0.672,0.855,9,-3.764,1,0.0397,0.021,0,0.323,0.646,123.056,182200,4,Rain On Me (with Ariana Grande),"['Lady Gaga', 'Ariana Grande']",1,pop
0.767,0.635,0,-5.386,0,0.0579,0.0937,0,0.233,0.827,108.029,185440,4,Coulda Woulda Shoulda,['Dagny'],1,pop
0.73,0.558,8,-6.535,1,0.0786,0.0179,0,0.128,0.618,100.066,141600,4,Be Okay (with HRVY),"['R3HAB', 'HRVY']",1,pop
0.548,0.721,8,-4.466,1,0.0472,0.0119,0,0.216,0.594,177.918,164683,4,On Me (feat. Ava Max),"['Thomas Rhett', 'Kane Brown', 'Ava Max']",1,country
0.756,0.815,6,-5.122,1,0.046,0.0578,2.00E-05,0.387,0.927,120.002,192000,4,Tangerine Skies,['Declan J Donovan'],1,pop
0.696,0.686,5,-6.113,0,0.0309,0.262,0,0.174,0.7,115.982,160289,4,Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album,"['Lennon Stella', 'Charlie Puth']",1,pop
0.769,0.479,1,-5.339,1,0.0385,0.66,0,0.0914,0.803,96.051,164640,4,Magic In The Hamptons (feat. Lil Yachty),"['Social House', 'Lil Yachty']",1,hip hop
0.844,0.652,11,-7.791,0,0.0623,0.233,0,0.0924,0.802,117.95,147108,4,Cliché,['Torine'],1,
0.721,0.763,5,-4.748,1,0.0382,0.00178,0.000238,0.0945,0.436,117.981,194373,4,Somebody,['Dagny'],1,pop
0.659,0.801,7,-4.234,1,0.0435,0.0636,0,0.341,0.334,105.991,195452,4,Little Bit Of Love,['JP Cooper'],1,pop
0.499,0.898,8,-4.181,0,0.124,0.124,7.20E-06,0.0832,0.618,120.04,207668,4,I Don't Know Why,"['NOTD', 'Astrid S']",1,pop
0.571,0.775,3,-8.608,1,0.0477,0.00527,8.99E-06,0.156,0.384,105.951,170947,4,Lovers For The Weekend,['John De Sohn'],1,pop
0.699,0.645,9,-5.307,1,0.078,0.413,0,0.355,0.676,104.939,179340,4,On My Life,['Cheat Codes'],1,pop
0.633,0.658,2,-5.824,0,0.0359,0.0661,0,0.0944,0.369,110.063,210040,4,Touch the Sky,['Dan Talevski'],1,pop
0.71,0.615,0,-8.23,1,0.133,0.0384,0,0.283,0.746,90.263,239698,4,Look For The Good - Single Version,['Jason Mraz'],1,pop
0.715,0.635,7,-6.591,1,0.0791,0.127,0,0.0862,0.39,112.887,198635,4,Freedom,"['Kygo', 'Zak Abel']",1,pop
0.646,0.761,1,-2.557,1,0.0385,0.0714,0,0.222,0.472,129.916,167308,4,I Found You,"['Cash Cash', 'Andy Grammer']",1,pop
0.695,0.863,5,-6.055,0,0.0717,0.193,0,0.36,0.42,114.939,178195,4,View,['Maia Wright'],1,Alternative
0.467,0.795,11,-3.6,1,0.0687,0.102,0,0.264,0.472,163.837,219354,4,Hold You Tonight (with Chris Lane),"['Gryffin', 'Chris Lane']",1,pop
0.797,0.694,8,-3.979,1,0.234,0.164,0,0.0703,0.847,98.002,172569,4,Broke Boy,['Malia Civetz'],1,pop
0.742,0.737,8,-3.713,0,0.0393,0.0891,0,0.0783,0.513,123.972,166452,4,By My Side,"['Hot Shade', 'Mika Zibanejad', 'Melina Borglowe']",1,pop
0.7,0.904,2,-4.03,1,0.0431,0.0531,8.03E-06,0.105,0.347,103.039,181102,4,Someone,['Jubël'],1,pop
0.611,0.651,1,-6.973,1,0.0587,0.148,1.84E-05,0.105,0.357,122.983,215361,4,I'll Wait,"['Kygo', 'Sasha Sloan']",1,pop
0.653,0.623,9,-5.989,1,0.0938,0.0515,0,0.0869,0.48,175.884,185393,4,Best Of You (feat. Elle King),"['Andy Grammer', 'Elle King']",1,pop
0.654,0.795,0,-4.419,1,0.0536,0.178,0,0.19,0.465,120.019,185750,4,Hold Me Close (feat. Ella Henderson),"['Sam Feldt', 'Ella Henderson']",1,pop
0.528,0.833,9,-6.19,1,0.0514,0.000414,1.23E-06,0.068,0.46,127.998,204759,4,Goliath,['Smith & Thell'],1,pop
0.733,0.717,0,-6.065,1,0.0465,0.136,0,0.108,0.491,102.011,188235,4,OK,"['Joakim Molitor', 'Matt Wilson']",1,pop
0.581,0.852,7,-4.744,1,0.129,0.0233,2.52E-06,0.419,0.43,120.115,174773,4,Hungry Hearts,['River'],1,
0.65,0.625,0,-10.122,0,0.0359,0.00536,0.000492,0.119,0.296,118.966,196558,4,I'm Coming,['Tove Lo'],1,pop
0.732,0.85,1,-5.999,1,0.0444,0.114,2.02E-06,0.0388,0.372,124.024,193548,4,Slow Dance (feat. Ava Max) - Sam Feldt Remix,"['AJ Mitchell', 'Ava Max', 'Sam Feldt']",1,pop
0.454,0.717,7,-4.341,1,0.227,0.034,0.00014,0.0861,0.477,104.7,140748,4,Paradise,"['Mike Perry', 'Sarah De Warren']",1,pop
0.702,0.684,10,-5.669,1,0.035,0.101,0,0.0646,0.625,114.068,181364,4,Arms Around Me,['Starley'],1,house
0.638,0.688,1,-4.056,0,0.0407,0.00775,0,0.126,0.434,129.856,162399,4,Kings & Queens,['Ava Max'],1,pop
0.563,0.583,7,-7.302,1,0.031,0.00658,0,0.102,0.525,91.899,180489,4,YES,['BEN & TAN'],1,Alternative
0.664,0.561,6,-7.031,1,0.0495,0.00261,0,0.0764,0.713,150.093,203672,4,I Love Me,['Demi Lovato'],1,pop
0.781,0.668,8,-8.36,1,0.0645,0.149,4.67E-06,0.152,0.754,103.024,184067,4,This Is How U Feel,['Loote'],1,pop
0.573,0.739,9,-5.455,1,0.0581,0.212,0,0.175,0.363,120.077,174062,4,Drown (feat. Clinton Kane),"['Martin Garrix', 'Clinton Kane']",1,house
0.878,0.48,0,-7.089,0,0.0544,0.105,0,0.102,0.83,116.042,160411,4,Complicated,['Miss Li'],1,pop
0.761,0.607,7,-6.274,1,0.0964,0.00277,0,0.132,0.71,105.979,188187,4,The Other Side (from Trolls World Tour),"['SZA', 'Justin Timberlake']",1,pop
0.878,0.525,5,-6.832,1,0.0578,0.183,0,0.0714,0.694,112.022,158571,4,Sunday Best,['Surfaces'],1,pop
0.718,0.693,1,-5.375,0,0.0252,0.07,0,0.132,0.691,88.026,165430,4,Fingertips,['Tom Gregory'],1,pop
0.58,0.804,9,-4.618,1,0.0279,0.0304,0.00359,0.105,0.137,126.005,215388,4,Never Felt A Love Like This (with Hook N Sling) [feat. Dotan],"['Galantis', 'Hook N Sling', 'Dotan']",1,pop
0.745,0.555,5,-6.806,0,0.052,0.6,2.08E-05,0.262,0.673,118.97,170357,4,Blue Jeans,['Jubël'],1,pop
0.646,0.618,0,-4.938,1,0.0349,0.323,0,0.0938,0.46,142.364,185613,4,This is the Place,['Tom Grennan'],1,pop
0.852,0.698,9,-7.206,1,0.0629,0.00839,1.03E-06,0.0773,0.324,113.039,180645,4,What A Man Gotta Do,['Jonas Brothers'],1,pop
0.503,0.754,7,-3.634,1,0.0424,0.264,5.85E-05,0.297,0.597,116.524,186750,4,2 Hearts (feat. Gia Koka),"['Sam Feldt', 'Sigma', 'Gia Koka']",1,pop
0.685,0.75,11,-4.818,1,0.0837,0.0436,0,0.272,0.688,105.054,138283,4,Kiss Somebody,"['Julie Bergan', 'Seeb']",1,pop
0.654,0.787,4,-4.999,1,0.0502,0.00515,0,0.144,0.409,123.978,164490,4,Dive,"['Hot Shade', 'Mike Perry', 'Chris James']",1,house
0.707,0.865,2,-1.749,1,0.0649,0.385,0,0.163,0.381,104.019,187274,4,I Want You,['OMI'],1,pop
0.675,0.688,1,-6.434,1,0.0513,0.0586,1.53E-05,0.133,0.849,121.96,222076,4,The Truth,['James Blunt'],1,pop
0.758,0.742,1,-5.73,1,0.043,0.0824,0,0.0391,0.648,120.964,151126,4,I Could Get Used To This,"['Martin Jensen', 'Malte Ebert']",1,pop
0.629,0.866,8,-4.469,0,0.0732,0.00903,1.60E-06,0.245,0.353,95.961,235183,4,2 In A Million,"['Steve Aoki', 'Sting', 'SHAED']",1,pop
0.584,0.607,11,-6.605,1,0.0356,0.426,0,0.101,0.374,117.817,194827,4,Family,"['The Chainsmokers', 'Kygo']",1,pop
0.741,0.733,1,-4.572,0,0.0367,0.143,0,0.103,0.549,125.962,175099,4,Don't Worry (feat. Aloe Blacc),"['Mesto', 'Aloe Blacc']",1,house
0.635,0.837,9,-3.943,1,0.108,0.25,0,0.0813,0.668,99.942,166789,4,Until I Die,"['Mike Perry', 'Joe Buck']",1,pop
0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,201573,4,Blinding Lights,['The Weeknd'],1,pop
0.637,0.782,11,-4.548,1,0.0413,0.0351,3.77E-06,0.173,0.319,120.107,172666,4,For What It's Worth,"['Tiggi Hawke', 'Sondr']",1,pop
0.674,0.698,5,-6.371,1,0.0288,0.636,0.000176,0.172,0.45,105.975,221680,4,My Love,['Anna of the North'],1,pop
0.818,0.823,11,-3.563,0,0.2,0.0663,1.17E-05,0.133,0.52,128.136,160794,4,Close Your Eyes,"['Felix Jaehn', 'VIZE', 'Miss Li']",1,pop
0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,174000,4,Watermelon Sugar,['Harry Styles'],1,pop
0.646,0.832,4,-2.687,1,0.189,0.114,0,0.371,0.542,90.816,183295,4,Better Than Ever,"['Flight Facilities', 'Aloe Blacc']",1,r&b
0.707,0.67,9,-6.137,1,0.0323,0.164,0.00283,0.109,0.822,112.993,223120,4,Love You For A Long Time,['Maggie Rogers'],1,pop
0.421,0.669,4,-4.724,1,0.127,0.151,0,0.635,0.326,175.788,208013,4,Bigger Than,"['Justin Jesso', 'Seeb']",1,pop
0.733,0.786,11,-7.494,1,0.0422,0.0931,0.0013,0.1,0.786,102.999,170893,4,Love You Better,"['John De Sohn', 'Rasmus Hagen']",1,pop
0.522,0.764,5,-7.375,0,0.0446,0.0159,2.81E-06,0.282,0.716,103.664,193846,4,Never Knew,['Mass Anthem'],1,pop
0.761,0.695,5,-4.048,1,0.0886,0.0783,0,0.14,0.69,118.004,201667,4,Get To Know You,['Samantha Harvey'],1,pop
0.51,0.71,1,-7.516,1,0.0874,0.442,0.00025,0.0783,0.511,119.951,206930,4,Say It Again,['AJ Mitchell'],1,pop
0.786,0.62,5,-7.709,1,0.163,0.0718,0,0.0625,0.652,92.09,161680,4,Forgotten Ones,['Sabina Ddumba'],1,pop
0.747,0.537,10,-5.76,1,0.0413,0.198,1.26E-05,0.18,0.453,97.056,178299,4,Friends,['Ella Henderson'],1,pop
0.738,0.814,7,-4.115,1,0.0463,0.182,0.00778,0.102,0.688,106.005,150566,4,FOCUS,['Keelie Walker'],1,
0.704,0.802,3,-5.382,1,0.17,0.398,0,0.0831,0.884,90.543,198280,4,Adore You,['Maisie Peters'],1,pop
0.735,0.71,11,-10.222,1,0.0766,0.00851,0.762,0.0684,0.507,123.962,229425,4,Both Of Us - Edit,['Jayda G'],1,Alternative
0.59,0.94,0,-5.593,1,0.0456,0.00309,6.82E-05,0.332,0.352,121.02,172315,4,No Eyes On Me - Sondr Remix,"['Justin Caruso', 'Sondr']",1,pop
0.585,0.956,0,-3.577,1,0.0564,0.0285,0,0.213,0.593,120.004,205704,4,Lucky,"['PNAU', 'Vlossom']",1,pop
0.589,0.876,10,-7.032,1,0.033,0.045,0.857,0.397,0.368,124.004,221587,4,Milo,['Dave Winnel'],1,house
0.684,0.884,2,-6.651,1,0.0619,0.0152,0.231,0.594,0.326,126.038,192976,4,Happy,['Costa'],1,Alternative
0.733,0.897,11,-6.432,0,0.0836,0.002,0.189,0.0534,0.635,124.006,366048,4,I Need Your Help,"['Arturo Macchiavelli', 'Lee Wilson']",1,Alternative
0.442,0.619,1,-5.28,1,0.0321,0.0841,0,0.0889,0.382,128.318,206279,4,Higher Ground (feat. John Martin),"['Martin Garrix', 'John Martin']",1,house
0.683,0.8,7,-7.446,1,0.0391,0.0921,0.862,0.125,0.764,126.036,189552,4,Escape,['Swales'],1,
0.649,0.816,1,-3.811,1,0.0696,0.00305,4.78E-06,0.308,0.802,125.998,158844,4,Ain't Right,"['Raven & Kreyn', 'Mo Falk']",1,pop
0.882,0.376,6,-15.256,1,0.05,0.217,0.86,0.104,0.4,123.984,171290,4,Remember,['J Lisk'],1,house
0.508,0.946,9,-5.481,0,0.137,0.000308,0.0162,0.331,0.188,128.054,216875,4,Miami Love,['Farius'],1,house
0.661,0.667,11,-8.592,1,0.0388,0.0226,0.928,0.116,0.824,125.023,447360,4,"Right on, Right On",['Silicone Soul'],1,house
0.828,0.879,10,-3.851,0,0.289,0.017,0.075,0.354,0.563,122.989,204879,4,Makin' You Happy,['Joey Chicago'],1,
0.688,0.865,5,-8.77,0,0.0341,0.0111,0.491,0.226,0.439,125.01,255259,4,I'll Take You There - Director's Cut Classic Signature Radio Version,"['Frankie Knuckles', ""Director's Cut"", 'Eric Kupper', 'Jamie Principle']",1,house
0.817,0.754,4,-9.653,0,0.461,0.00644,0.00083,0.804,0.452,124.956,161280,4,Lingo,['FootRocket'],1,
0.824,0.972,8,-4.045,0,0.0495,0.0384,0.0819,0.502,0.759,125.978,175238,4,Never Knew (L.O.V.E.),['Jodie Harsh'],1,
0.702,0.869,1,-4.603,0,0.0313,0.000542,0.103,0.0958,0.583,125.966,199960,4,Wherever You Are - Joel Corry Remix,"['Kodaline', 'Joel Corry']",1,pop
0.743,0.937,8,-5.13,1,0.184,0.00065,0.842,0.358,0.489,124.981,196320,4,Lighta,['Wh0'],1,Alternative
0.847,0.897,0,-5.338,1,0.085,0.000515,0.0479,0.68,0.736,127.996,519200,4,Be Without You - Moto Blanco Vocal Mix,"['Mary J. Blige', 'Bobby Blanco']",1,pop
0.701,0.81,5,-7.999,1,0.0348,0.000209,0.0968,0.0331,0.842,125.008,288023,4,Souvenirs,"['Studio 54 Music', 'JKriv', 'RickExpress']",1,Alternative
0.632,0.79,8,-6.833,0,0.0373,0.00999,0.0111,0.24,0.386,148.146,205197,4,Eyes Wide Open,['Lemaitre'],1,pop
0.646,0.796,0,-6.88,1,0.0384,0.000816,0.000154,0.211,0.71,123.999,234758,4,Most Precious Love - RE//CHOIRED,['House Gospel Choir'],1,
0.657,0.905,7,-5.558,1,0.0579,0.00296,0.113,0.225,0.0554,126.059,180952,4,Brighter Days,"['Bingo Players', 'Oomloud']",1,house
0.757,0.82,10,-4.999,1,0.0406,0.00426,0.421,0.173,0.656,128.012,216797,4,Ecstasy (Over & Over) - Edit,['Prospa'],1,house
0.61,0.964,11,-3.677,1,0.0387,0.00294,0.000798,0.0901,0.415,124.919,188280,4,Only You,"['Cahill', 'Craig Smart']",1,
0.627,0.862,6,-4.773,1,0.104,0.00204,3.63E-05,0.169,0.313,126.041,142143,4,I Just Got 2,"['DAZZ', 'CALVO', 'Salena Mastroianni']",1,house
0.592,0.794,5,-7.241,0,0.0475,0.0604,0.035,0.924,0.253,125.996,177143,4,Don't You Worry - Radio Mix,"['Ron Carroll', 'Alex Kosoglaz']",1,
0.781,0.718,11,-7.814,0,0.387,0.00442,0,0.132,0.304,123.992,168397,4,Good Dream,"['Midsplit', 'BLEM', 'A-SHO']",1,pop
0.607,0.932,9,-3.339,1,0.275,0.0144,0.791,0.334,0.448,125.013,142320,4,Good Times,['ricky retro'],1,
0.776,0.819,6,-4.844,1,0.0334,0.00123,0.297,0.292,0.763,120.013,160340,4,Have Fun,['Groove Delight'],1,Alternative
0.654,0.942,3,-2.917,1,0.057,0.0123,0.328,0.109,0.401,150.032,233200,4,Luminous,['AIKA'],1,Alternative
0.607,0.941,6,-6.817,1,0.0769,0.00568,0,0.511,0.53,124.058,190110,4,Off My Mind,"['ManyFew', 'Voost']",1,house
0.809,0.908,8,-7.459,1,0.0992,0.0207,7.04E-05,0.101,0.802,123.998,200460,4,The One,['LeBon (UK)'],1,
0.943,0.409,0,-9.556,1,0.15,0.32,0.777,0.105,0.18,122.011,240000,4,San Pellegrino,['Wizman'],1,
0.568,0.933,6,-5.45,0,0.0362,0.000634,0.0385,0.101,0.666,128.001,258750,4,Shôko,['AXXIS'],1,
0.595,0.775,10,-4.4,1,0.0511,0.224,8.09E-06,0.348,0.128,124.023,196413,4,Somebody - Stadiumx Edit,"['Metrush', 'GSPR', 'Stadiumx']",1,house
0.802,0.947,9,-4.509,0,0.0598,0.0564,0.81,0.0725,0.565,124.004,402000,4,Babarabatiri - David Penn Remix,"['Todd Terry', 'Gypsymen', 'David Penn']",1,house
0.802,0.78,8,-6.003,1,0.0481,0.025,0.457,0.0431,0.853,120.008,288335,4,Better On My Own (feat. Anabel Englund),"['Disciples', 'Anabel Englund']",1,house
0.653,0.565,1,-6.636,1,0.0354,0.00561,3.02E-05,0.145,0.165,124.987,222253,4,Free (with Drew Love),"['Louis The Child', 'Drew Love']",1,pop
0.616,0.854,11,-4.749,0,0.368,0.12,0,0.322,0.801,113.982,254871,4,Chemicals,['SG Lewis'],1,pop
0.634,0.733,9,-7.006,0,0.0368,0.000879,0.922,0.0911,0.0649,124.992,204919,4,Halcyon - 2020 Anniversary Remix,['Chicane'],1,house
0.533,0.731,4,-3.224,1,0.0322,0.135,3.00E-06,0.198,0.312,127.98,240469,4,Kingdom,"['ARTY', 'Conrad Sewell']",1,house
0.632,0.951,1,-5.213,0,0.109,0.0517,0.00242,0.581,0.507,125.024,172735,4,Never Let It Go,['Clear Six'],1,
0.796,0.769,1,-1.632,1,0.0356,0.000305,0.776,0.0906,0.408,123.987,270968,4,Airwolf Six,['Posij'],1,Alternative
0.684,0.912,8,-3.95,1,0.0296,0.00413,7.78E-06,0.0462,0.487,124.041,178730,4,Free,['Holly T'],1,
0.771,0.747,5,-4.858,1,0.059,0.018,0.0024,0.343,0.333,124.985,234857,4,Every Color (with Foster The People),"['Louis The Child', 'Foster The People']",1,pop
0.619,0.86,7,-7.702,1,0.0477,0.00579,0.726,0.149,0.116,125.029,167040,4,Elephant 2K18 - Bobby Rock Remix,"['Funkin Matt', 'Bobby Rock']",1,house
0.928,0.681,9,-8.554,1,0.0728,0.026,0.00373,0.0491,0.878,126.988,172285,4,Pour the Milk,"['Robbie Doherty', 'Keees.']",1,
0.535,0.97,2,-4.13,0,0.0407,0.000478,0.0213,0.131,0.334,129.956,169846,4,Moonlight Party - Radio Edit,['Fonzerelli'],1,
0.736,0.839,5,-5.602,0,0.0308,0.000687,0.526,0.0695,0.598,124.987,230880,4,Heart Of Mine,"['Francis Mercier', 'Roland Clark']",1,house
0.578,0.864,3,-3.942,1,0.0437,0.0304,0.000199,0.398,0.635,125.916,194875,4,Better Than This,"['Futuristic Polar Bears', 'Franky']",1,house
0.588,0.9,3,-7.104,1,0.116,0.00848,0.00344,0.189,0.207,128.035,185625,4,Forever,['Justin Mylo'],1,pop
0.718,0.832,0,-5.155,1,0.0402,0.032,0.000163,0.303,0.732,120.826,150120,4,Thinking of You - Danny Trexin Remix,"['Simply Red', 'Danny Trexin']",1,rock
0.672,0.94,10,-3.908,0,0.0756,0.00163,0.0404,0.679,0.532,122.032,198197,4,Get Happy (feat. Mat Zo),"['The Knocks', 'Mat Zo']",1,pop
0.643,0.789,6,-7.286,0,0.314,0.0116,0.00319,0.489,0.583,127.93,105005,4,Immaculate Taste,['Engelwood'],1,Alternative
0.578,0.8,5,-3.57,0,0.038,0.112,1.04E-05,0.0888,0.584,119.992,190000,4,I Feel Human,"['Vicetone', 'BullySongs']",1,house
0.679,0.839,0,-5.579,1,0.0303,0.000772,0.00173,0.0772,0.566,123.041,148293,4,Nobody Does It Better,['Michael Calfan'],1,house
0.821,0.827,9,-6.672,1,0.0617,0.0789,0.085,0.103,0.624,112.964,221160,4,Orphans - Muzi Remix,"['Coldplay', 'Muzi']",1,pop
0.772,0.973,9,-4.735,1,0.0935,0.00826,6.59E-05,0.177,0.899,121.998,166832,4,Captain Duck,"['Duck Sauce', 'A-Trak', 'Armand Van Helden']",1,house
0.503,0.883,0,-5.201,1,0.156,0.00185,0.0038,0.166,0.298,127.963,161469,4,Nothing To Lose,"['Disco Killerz', 'Holly T']",1,Alternative
0.448,0.911,1,-3.095,1,0.0408,0.0214,0,0.059,0.255,127.127,234012,4,Take Me Away,['Third Party'],1,house
0.572,0.811,6,-4.874,0,0.066,0.00887,5.65E-06,0.124,0.332,125.946,206667,4,All Night Long,"['Jonas Blue', 'RetroVision']",1,pop
0.749,0.78,1,-6.287,1,0.0822,4.71E-05,0.882,0.0903,0.242,124.001,348387,4,Gamma Jack,['Botnek'],1,house
0.838,0.88,7,-6.3,1,0.044,0.0023,0.332,0.0447,0.743,121.997,256598,4,Body Funk,['Purple Disco Machine'],1,house
0.687,0.881,4,-5.325,1,0.0428,0.000486,0.00609,0.214,0.276,126.094,175719,4,Never Felt A Love Like This (feat. Dotan) - Raven & Kreyn Remix,"['Galantis', 'Hook N Sling', 'Dotan', 'Raven & Kreyn']",1,pop
0.755,0.919,0,-4.311,1,0.0523,0.00676,0.0132,0.285,0.966,122.976,185366,4,Are You Gonna Rock,['Me & My Toothbrush'],1,house
0.7,0.914,8,-6.43,0,0.106,0.0109,0.00296,0.0849,0.913,125.07,186300,4,Always,"['Waze & Odyssey', 'George Michael', 'Mary J. Blige', 'Tommy Theo']",1,pop
0.806,0.66,6,-6.569,0,0.0767,0.000612,0.716,0.0772,0.854,125.002,184319,4,Sugar’s Delight,['Tom Budin'],1,house
0.678,0.797,9,-6.014,0,0.0398,0.00728,0.00199,0.31,0.602,125.929,152000,4,All My Life - Lucas & Steve Edit,"['Bassjackers', 'Lucas & Steve']",1,house
0.49,0.88,9,-4.175,0,0.06,0.0135,0,0.177,0.533,128.022,212344,4,Walk On Water,"['GATTÜSO', 'Kat Nestel']",1,house
0.905,0.915,7,-7.169,1,0.285,0.000867,0.78,0.601,0.808,122.965,312683,4,High Fidelity,['Hoodboi'],1,Alternative
0.204,0.953,6,-5.87,1,0.0713,0.000614,0.33,0.0891,0.151,127.969,178125,4,Stargazer,['Steve Brian'],1,house
0.695,0.53,1,-12.807,1,0.445,0.18,0.874,0.12,0.358,123.014,282372,4,Holding on,['Girls of the Internet'],1,house
0.631,0.96,6,-2.662,0,0.0479,0.0011,0.0231,0.0226,0.845,125.993,180000,4,Fall In Love With U - Radio Edit,['Luca Debonaire'],1,house
0.667,0.751,7,-4.786,1,0.0534,0.123,1.95E-06,0.331,0.534,120.928,178512,4,I'll Be There,"['Rogerseventytwo', 'Rebecca Ferguson']",1,Alternative
0.75,0.888,7,-5.014,1,0.0843,0.0446,0.0238,0.47,0.594,127.005,143740,4,Tastes Gud,"['Mo Falk', 'Zoopreme']",1,pop
0.633,0.88,8,-4.808,1,0.158,0.0046,4.26E-06,0.775,0.441,124.037,178064,4,Ready For Love (Feat. Greg Zlap),"['Klingande', 'Joe Killington', 'Greg Zlap']",1,house
0.493,0.867,5,-4.436,0,0.044,0.00839,0.000123,0.213,0.0515,128.093,271875,4,Shivohum,"['Tritonal', 'Henry Dark']",1,house
0.719,0.708,0,-7.418,1,0.0417,0.00645,0.201,0.064,0.256,126.015,254453,4,I Feel Love,['Sam Smith'],1,pop
